epoch,dense_1_acc,dense_1_loss,dense_2_acc,dense_2_loss,loss
0,0.21087232987767338,2.0125096361931023,0.2186536762030782,2.0038208869394025,4.016330517705608
1,0.27109693272884716,1.783481834050054,0.27493371844922515,1.778606290145888,3.562088123144995
2,0.3249412626908133,1.526532772972721,0.33427456728417865,1.5132782158801157,3.0398109903714428
3,0.36440842368476817,1.3643633894686726,0.36826676438448486,1.352391447445458,2.7167548370348995
4,0.3897139654692497,1.2660510949672439,0.39378785592686183,1.2516322260188895,2.51768332273086
5,0.4071088310755805,1.1960576198651596,0.40859612441596366,1.182662153103721,2.378719771838277
6,0.4276507231713708,1.1374793105349184,0.42458991658417017,1.1297113299588224,2.2671906401442814
7,0.4476321858907551,1.0817505755037113,0.4474813010602765,1.0756277875063827,2.157378364220354
8,0.46677300455002707,1.0314023274561126,0.46625568512683824,1.026471063573375,2.0578733901841044
9,0.48444808484423973,0.9915513118764206,0.4857198284230337,0.9808648617508684,1.9724161723116778
10,0.5078783437207859,0.9538180189367753,0.5109391503079865,0.9430152037101927,1.8968332227613132
11,0.5321276916801934,0.9129540095161133,0.5316750371842607,0.9035483723794965,1.8165023830352067
12,0.5592007414950275,0.8755877227085107,0.5589420817802212,0.8633197465269882,1.7389074700783125
13,0.5887526135434055,0.8270778186856805,0.5869204405888478,0.8183627793845595,1.645440598143472
14,0.6193822343913782,0.7862796888105175,0.6149634643163797,0.7782038652323614,1.564483554041594
15,0.6468001638178174,0.7403235954895359,0.6486323367762292,0.7302407374388289,1.4705643331133726
16,0.6761580410850689,0.6917016634981084,0.6785506434173174,0.688416088374894,1.3801177508760156
17,0.7070678766206023,0.6429010817616759,0.7067229970064279,0.638249767054549,1.281150847510892
18,0.7322440885516956,0.5985176284119509,0.7381717069411163,0.588657259325693,1.1871748881076596
19,0.7624641648537409,0.5478489485293292,0.7667536050723,0.5379994702072453,1.0858484181430077
20,0.7885672407488113,0.5004455281512159,0.7875972668303323,0.49329765720797886,0.9937431845189508
21,0.8148643114262928,0.4481979252308947,0.8151014161632057,0.4398941088809828,0.8880920340347909
22,0.832453171817283,0.4066126300432532,0.8371952665285626,0.3947071594717924,0.8013197889645188
23,0.8519819800400923,0.36874630503756184,0.856012760545772,0.35890678527568026,0.7276530899395728
24,0.8679111072804001,0.331572497065655,0.8670273532645011,0.3287989534338086,0.6603714500562959
25,0.8778910611527516,0.3090644562112469,0.879938783868256,0.3002981905241726,0.6093626474647711
26,0.8930010993037742,0.2733291808842683,0.8928717694492618,0.27184345978614216,0.5451726406148438
27,0.8987562778867502,0.2652913755424181,0.901191990170931,0.2557458802000139,0.5210372555457408
28,0.9100079753423923,0.2362268160570681,0.9103528549565667,0.23315010010931794,0.4693769159303886
29,0.9145129653180437,0.22596816323332852,0.9149656198133339,0.22231406205428983,0.4482822253486854
30,0.9219494320276681,0.208076936223866,0.920850128252107,0.20602729159675495,0.4141042278408863
31,0.926411312051387,0.19606840337930748,0.9272735110900351,0.1951950153408318,0.3912634189687034
32,0.9310671868600866,0.1865612873513456,0.9289547992179684,0.18650994737125948,0.37307123484164767
33,0.9382881038087643,0.1677808197634117,0.9383527687366628,0.16440639063212703,0.3321872098355367
34,0.9379001142426574,0.17043328985797981,0.9388916431358179,0.16632086037510968,0.3367541504917562
35,0.9428362037389176,0.1605233054716831,0.9424266591955598,0.1582003215106757,0.31872362720406305
36,0.94466837669476,0.15097032267760854,0.9474705235703662,0.14616262298938146,0.29713294588260164
37,0.9488715970094541,0.14202044452582835,0.9483973875369129,0.14376533417286078,0.2857857789797139
38,0.9485051624167439,0.1415355842337661,0.9519539585713362,0.13483122286413768,0.27636680694191884
39,0.9539154613855453,0.13110631666740688,0.9532472571305931,0.13240115257976606,0.2635074690096097
40,0.9540663462160239,0.12798066811776893,0.9556829694134891,0.12576544059853398,0.2537461086780683
41,0.9576444722276982,0.12299228843576236,0.9575151423706163,0.11987368400727622,0.24286597258970888
42,0.9584635613131292,0.11580008619271996,0.9589593257603518,0.11609358127312792,0.2318936675301256
43,0.9591533205440476,0.11442979088551782,0.9597999698230336,0.11754589400945581,0.2319756851561898
44,0.9606837238389327,0.11260416168430896,0.9611794882848705,0.11078426936385323,0.2233884308948773
45,0.9625158967947751,0.106979676680051,0.962925441338133,0.1079339990303196,0.2149136758994034
46,0.9637014204729162,0.10555157335946941,0.9631194361218287,0.10818876202642944,0.21374033507248108
47,0.9642402948720712,0.1057134083941196,0.9638307503287133,0.106548420027849,0.21226182826948356
48,0.966158687734348,0.0969329022935841,0.9664173474446576,0.09720404909059022,0.19413695135382178
49,0.9672579915073395,0.0950708195323681,0.9673873213631367,0.09720989292369173,0.1922807121860409
50,0.966352682516759,0.09810999534694982,0.9670208867717113,0.09496801322152561,0.19307800850231163
51,0.9688530597288384,0.09292248456557947,0.969564373935723,0.09019507319550378,0.18311755782682643
52,0.9677537559545621,0.09611529862376278,0.9685728450412778,0.09325776362016355,0.18937306243810575
53,0.9690686094885004,0.09260204204505378,0.9694134891039596,0.09097279111109191,0.18357483331207441
54,0.9717845364602419,0.08516029312016718,0.9718707563641067,0.08509710725486444,0.17025740045317467
55,0.9709007824456276,0.08624861162472759,0.9702972431185739,0.08744741769753613,0.17369602935819606
56,0.9708361175177289,0.0876050336303413,0.9713965468928503,0.08637201705877641,0.17397705065829422
57,0.9714612118220336,0.08529517679638482,0.9731856098980449,0.08169148375560398,0.1669866605589541
58,0.9720647511478024,0.0858948684060501,0.9716552066057295,0.08342868584207527,0.1693235541914346
